fecha_prediccion,fecha_ultimo_cierre,precio_ultimo_cierre,pred_1d,conf_1d,pred_5d,conf_5d,pred_21d,conf_21d
2025-11-13,2025-11-13,272.95,0,54.49%,1,51.97%,1,66.99%
2025-11-13,2025-11-13,272.95,0,53.99%,1,57.74%,1,66.99%
